"divipola_municipal","departamento","municipio","pagos_asistencia_alimentaria","asistencia_t_cnica_integral","autosostenimiento_y_seguridad","proyectos_productivos_pp","recolectores","corte"
"05040","ANTIOQUIA","ANORÍ","1","1","1","0.99","0.87","2022-07-31T00:00:00.000"
"05107","ANTIOQUIA","BRICEÑO","1","1","1","1","0.99","2022-07-31T00:00:00.000"
"05120","ANTIOQUIA","CÁCERES","1","1","1","1","0.96","2022-07-31T00:00:00.000"
"05361","ANTIOQUIA","ITUANGO","0.95","0.93","0.93","0.93","0.64","2022-07-31T00:00:00.000"
"05790","ANTIOQUIA","TARAZÁ","1","1","0.98","0.98","0.75","2022-07-31T00:00:00.000"
"81065","ARAUCA","ARAUQUITA","1","1","1","0.99","0.96","2022-07-31T00:00:00.000"
"13160","BOLÍVAR","CANTAGALLO","1","1","0.98","0.67","0","2022-07-31T00:00:00.000"
"13670","BOLÍVAR","SAN PABLO","1","0.99","0.99","0.99","0","2022-07-31T00:00:00.000"
"13688","BOLÍVAR","SANTA ROSA DEL SUR","1","1","0.99","0.93","0","2022-07-31T00:00:00.000"
"18094","CAQUETÁ","BELÉN DE LOS ANDAQUÍES","1","1","0.98","0.99","0","2022-07-31T00:00:00.000"
"18150","CAQUETÁ","CARTAGENA DEL CHAIRÁ","1","1","0.98","0.97","0.05","2022-07-31T00:00:00.000"
"18205","CAQUETÁ","CURILLO","1","1","0.99","0.99","0","2022-07-31T00:00:00.000"
"18247","CAQUETÁ","EL DONCELLO","1","1","0.99","0.99","0","2022-07-31T00:00:00.000"
"18256","CAQUETÁ","EL PAUJIL","0.99","1","0.95","0.95","0","2022-07-31T00:00:00.000"
"18410","CAQUETÁ","LA MONTAÑITA","1","0.98","0.98","0.98","0.29","2022-07-31T00:00:00.000"
"18592","CAQUETÁ","PUERTO RICO","1","1","1","1","0.38","2022-07-31T00:00:00.000"
"18610","CAQUETÁ","SAN JOSÉ DEL FRAGUA","1","1","0.99","1","0","2022-07-31T00:00:00.000"
"18753","CAQUETÁ","SAN VICENTE DEL CAGUÁN","1","1","0.99","0.93","0.15","2022-07-31T00:00:00.000"
"19256","CAUCA","EL TAMBO","0.99","0.94","0.93","0.92","0.19","2022-07-31T00:00:00.000"
"19364","CAUCA","JAMBALÓ","1","0.87","0.84","0.87","0.13","2022-07-31T00:00:00.000"
